"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6893.149891,-0.427214,-0.231958,0.000535,6.699654,3.637615
31 Dec 2017 00:02:00.000,6832.903671,801.188982,435.010084,-1.003150,6.641102,3.605824
31 Dec 2017 00:04:00.000,6653.106924,1588.787960,862.641400,-1.989022,6.466390,3.510963
31 Dec 2017 00:06:00.000,6356.951000,2348.601183,1275.186282,-2.939603,6.178711,3.354766
31 Dec 2017 00:08:00.000,5949.687162,3067.367104,1665.444300,-3.838094,5.783308,3.140080
31 Dec 2017 00:10:00.000,5438.525741,3732.571262,2026.620656,-4.668695,5.287367,2.870806
31 Dec 2017 00:12:00.000,4832.498452,4332.670676,2352.448023,-5.416896,4.699866,2.551819
31 Dec 2017 00:14:00.000,4142.287228,4857.298084,2637.297439,-6.069744,4.031387,2.188865
31 Dec 2017 00:16:00.000,3380.023606,5297.442131,2876.276136,-6.616066,3.293909,1.788447
31 Dec 2017 00:18:00.000,2559.063319,5645.600339,3065.310602,-7.046660,2.500561,1.357694
31 Dec 2017 00:20:00.000,1693.741112,5895.902406,3201.213524,-7.354431,1.665373,0.904224
31 Dec 2017 00:22:00.000,799.111040,6044.202181,3281.733724,-7.534498,0.803005,0.435996
31 Dec 2017 00:24:00.000,-109.322408,6088.137375,3305.588586,-7.584241,-0.071517,-0.038831
31 Dec 2017 00:26:00.000,-1015.877118,6027.156842,3272.478861,-7.503317,-0.943077,-0.512049
31 Dec 2017 00:28:00.000,-1904.965046,5862.515888,3183.086125,-7.293629,-1.796727,-0.975543
31 Dec 2017 00:30:00.000,-2761.358056,5597.240681,3039.053452,-6.959259,-2.617941,-1.421426
31 Dec 2017 00:32:00.000,-3570.443570,5236.063300,2842.950153,-6.506364,-3.392852,-1.842168
31 Dec 2017 00:34:00.000,-4318.466124,4785.329430,2598.221651,-5.943047,-4.108468,-2.230716
31 Dec 2017 00:36:00.000,-4992.751387,4252.880964,2309.125749,-5.279196,-4.752875,-2.580601
31 Dec 2017 00:38:00.000,-5581.909702,3647.916073,1980.656643,-4.526303,-5.315411,-2.886033
31 Dec 2017 00:40:00.000,-6076.016636,2980.829424,1618.458178,-3.697262,-5.786820,-3.141987
31 Dec 2017 00:42:00.000,-6466.768491,2263.035374,1228.727843,-2.806152,-6.159382,-3.344271
31 Dec 2017 00:44:00.000,-6747.611125,1506.776989,818.113080,-1.868015,-6.427021,-3.489587
31 Dec 2017 00:46:00.000,-6913.840798,724.923795,393.601471,-0.898610,-6.585384,-3.575571
31 Dec 2017 00:48:00.000,-6962.676088,-69.238859,-37.593630,0.085825,-6.631901,-3.600828
31 Dec 2017 00:50:00.000,-6893.300247,-862.225938,-468.150444,1.068825,-6.565817,-3.564948
31 Dec 2017 00:52:00.000,-6706.873607,-1640.571466,-890.757547,2.033946,-6.388205,-3.468512
31 Dec 2017 00:54:00.000,-6406.515948,-2391.047034,-1298.232496,2.965016,-6.101948,-3.313087
31 Dec 2017 00:56:00.000,-5997.258969,-3100.877180,-1683.638785,3.846382,-5.711703,-3.101201
31 Dec 2017 00:58:00.000,-5485.969274,-3757.948776,-2040.399520,4.663156,-5.223839,-2.836313
31 Dec 2017 01:00:00.000,-4881.242591,-4351.011526,-2362.406291,5.401446,-4.646351,-2.522763
31 Dec 2017 01:02:00.000,-4193.270201,-4869.866686,-2644.121632,6.048587,-3.988750,-2.165715
31 Dec 2017 01:04:00.000,-3433.678941,-5305.541116,-2880.673525,6.593353,-3.261928,-1.771082
31 Dec 2017 01:06:00.000,-2615.346492,-5650.443801,-3067.940387,7.026154,-2.478000,-1.345444
31 Dec 2017 01:08:00.000,-1752.194087,-5898.502057,-3202.625019,7.339216,-1.650124,-0.895944
31 Dec 2017 01:10:00.000,-858.959209,-6045.274737,-3282.316075,7.526733,-0.792299,-0.430183
31 Dec 2017 01:12:00.000,49.048672,-6088.039934,-3305.535680,7.584995,0.080859,0.043903
31 Dec 2017 01:14:00.000,956.205818,-6025.854951,-3271.771992,7.512488,0.954353,0.518172
31 Dec 2017 01:16:00.000,1846.841402,-5859.586621,-3181.495663,7.309948,1.813065,0.984414
31 Dec 2017 01:18:00.000,2705.509750,-5591.910489,-3036.159395,6.980392,2.642013,1.434496
31 Dec 2017 01:20:00.000,3517.262833,-5227.277908,-2838.180075,6.529092,3.426626,1.860506
31 Dec 2017 01:22:00.000,4267.917929,-4771.850679,-2590.903288,5.963515,4.153012,2.254901
31 Dec 2017 01:24:00.000,4944.315181,-4233.403542,-2298.550373,5.293221,4.808225,2.610653
31 Dec 2017 01:26:00.000,5534.559714,-3621.195570,-1966.148595,4.529705,5.380513,2.921380
31 Dec 2017 01:28:00.000,6028.243087,-2945.812265,-1599.445414,3.686209,5.859558,3.181480
31 Dec 2017 01:30:00.000,6416.639090,-2218.980940,-1204.808239,2.777486,6.236681,3.386241
31 Dec 2017 01:32:00.000,6692.869369,-1453.362674,-789.111476,1.819534,6.505024,3.531940
31 Dec 2017 01:34:00.000,6852.034911,-662.324851,-359.613021,0.829293,6.659694,3.615919
31 Dec 2017 01:36:00.000,6891.310205,140.301174,76.177315,-0.175675,6.697866,3.636644
31 Dec 2017 01:38:00.000,6809.997731,940.472244,510.634718,-1.177523,6.618841,3.593737
31 Dec 2017 01:40:00.000,6609.541444,1724.190086,936.158749,-2.158464,6.424064,3.487982
31 Dec 2017 01:42:00.000,6293.498882,2477.757043,1345.312186,-3.101115,6.117092,3.321309
31 Dec 2017 01:44:00.000,5867.472622,3188.025398,1730.956402,-3.988830,5.703517,3.096757
31 Dec 2017 01:46:00.000,5339.002783,3842.635068,2086.380421,-4.806013,5.190851,2.818402
31 Dec 2017 01:48:00.000,4717.423217,4430.234782,2405.421005,-5.538409,4.588367,2.491280
31 Dec 2017 01:50:00.000,4013.684871,4940.682364,2682.571404,-6.173361,3.906909,2.121278
31 Dec 2017 01:52:00.000,3240.150493,5365.220369,2913.076713,-6.700031,3.158674,1.715020
31 Dec 2017 01:54:00.000,2410.365385,5696.624014,3093.014194,-7.109574,2.356967,1.279728
31 Dec 2017 01:56:00.000,1538.809295,5929.319090,3219.357300,-7.395278,1.515948,0.823092
31 Dec 2017 01:58:00.000,640.634723,6059.468335,3290.022568,-7.552655,0.650361,0.353117
31 Dec 2017 02:00:00.000,-268.603015,6085.025462,3303.898955,-7.579484,-0.224732,-0.122020
31 Dec 2017 02:02:00.000,-1173.218763,6005.756794,3260.859584,-7.475819,-1.094228,-0.594117
31 Dec 2017 02:04:00.000,-2057.668520,5823.231066,3161.756209,-7.243949,-1.943233,-1.055089
31 Dec 2017 02:06:00.000,-2906.813801,5540.778572,3008.397031,-6.888328,-2.757320,-1.497103
31 Dec 2017 02:08:00.000,-3706.175087,5163.421276,2803.508755,-6.415465,-3.522761,-1.912703
31 Dec 2017 02:10:00.000,-4442.170545,4697.775936,2550.683988,-5.833787,-4.226739,-2.294932
31 Dec 2017 02:12:00.000,-5102.336662,4151.932578,2254.315252,-5.153477,-4.857545,-2.637432
31 Dec 2017 02:14:00.000,-5675.527929,3535.310884,1919.517020,-4.386286,-5.404755,-2.934542
31 Dec 2017 02:16:00.000,-6152.093147,2858.497235,1552.037225,-3.545331,-5.859371,-3.181379
31 Dec 2017 02:18:00.000,-6524.026369,2133.065205,1158.159806,-2.644880,-6.213957,-3.373903
31 Dec 2017 02:20:00.000,-6785.090911,1371.382410,744.599829,-1.700115,-6.462730,-3.508976
31 Dec 2017 02:22:00.000,-6930.915189,586.406571,318.392762,-0.726896,-6.601648,-3.584402
31 Dec 2017 02:24:00.000,-6959.059503,-208.526291,-113.220527,0.258479,-6.628456,-3.598958
31 Dec 2017 02:26:00.000,-6869.053165,-999.918649,-542.911479,1.239532,-6.542719,-3.552407
31 Dec 2017 02:28:00.000,-6662.401652,-1774.330391,-963.382710,2.199848,-6.345829,-3.445504
31 Dec 2017 02:30:00.000,-6342.563715,-2518.596981,-1367.486460,3.123329,-6.040982,-3.279985
31 Dec 2017 02:32:00.000,-5914.898656,-3220.044000,-1748.341082,3.994438,-5.633140,-3.058545
31 Dec 2017 02:34:00.000,-5386.584220,-3866.695185,-2099.443997,4.798443,-5.128965,-2.784801
31 Dec 2017 02:36:00.000,-4766.505864,-4447.471076,-2414.779548,5.521653,-4.536725,-2.463241
31 Dec 2017 02:38:00.000,-4065.118452,-4952.375374,-2688.920190,6.151639,-3.866183,-2.099166
31 Dec 2017 02:40:00.000,-3294.281800,-5372.666130,-2917.119430,6.677448,-3.128457,-1.698614
31 Dec 2017 02:42:00.000,-2467.071842,-5701.008912,-3095.394999,7.089795,-2.335859,-1.268268
31 Dec 2017 02:44:00.000,-1597.569640,-5931.609167,-3220.600710,7.381241,-1.501709,-0.815361
31 Dec 2017 02:46:00.000,-700.630874,-6060.321141,-3290.485604,7.546337,-0.640130,-0.347562
31 Dec 2017 02:48:00.000,208.361040,-6084.730884,-3303.739012,7.581753,0.234176,0.127147
31 Dec 2017 02:50:00.000,1113.754625,-6004.211149,-3260.020367,7.486364,1.106174,0.600603
31 Dec 2017 02:52:00.000,1999.898743,-5819.946358,-3159.972758,7.261308,1.960748,1.064599
31 Dec 2017 02:54:00.000,2851.415229,-5534.926221,-3005.219465,6.909995,2.782971,1.511030
31 Dec 2017 02:56:00.000,3653.470918,-5153.907162,-2798.343014,6.438089,3.558371,1.932038
31 Dec 2017 02:58:00.000,4392.043923,-4683.341278,-2542.846608,5.853434,4.273202,2.320159
31 Dec 2017 03:00:00.000,5054.178870,-4131.273299,-2243.098180,5.165938,4.914709,2.668469
31 Dec 2017 03:02:00.000,5628.225772,-3507.206697,-1904.257692,4.387418,5.471375,2.970714
31 Dec 2017 03:04:00.000,6104.057337,-2821.940901,-1532.188757,3.531400,5.933155,3.221440
31 Dec 2017 03:06:00.000,6473.259801,-2087.382313,-1133.356022,2.612873,6.291676,3.416101
31 Dec 2017 03:08:00.000,6729.292838,-1316.332567,-714.710205,1.648024,6.540416,3.551156
31 Dec 2017 03:10:00.000,6867.614720,-522.258110,-283.562993,0.653924,6.674836,3.624140
31 Dec 2017 03:12:00.000,6885.769675,280.954216,152.545678,-0.351790,6.692481,3.633720
31 Dec 2017 03:14:00.000,6783.435269,1079.250535,585.985175,-1.351255,6.593028,3.579722
31 Dec 2017 03:16:00.000,6562.428636,1858.666845,1009.173664,-2.326732,6.378294,3.463131
31 Dec 2017 03:18:00.000,6226.671399,2605.584021,1414.716565,-3.260942,6.052200,3.286076
31 Dec 2017 03:20:00.000,5782.114149,3306.975473,1795.541016,-4.137401,5.620684,3.051782
31 Dec 2017 03:22:00.000,5236.622376,3950.642288,2145.023551,-4.940728,5.091578,2.764501
31 Dec 2017 03:24:00.000,4599.826644,4525.431050,2457.108356,-5.656931,4.474445,2.429425
31 Dec 2017 03:26:00.000,3882.940614,5021.430059,2726.413821,-6.273656,3.780381,2.052579
31 Dec 2017 03:28:00.000,3098.551205,5430.140319,2948.325366,-6.780401,3.021797,1.640702
31 Dec 2017 03:30:00.000,2260.385671,5744.618359,3119.072995,-7.168687,2.212166,1.201108
31 Dec 2017 03:32:00.000,1383.060730,5959.588713,3235.792363,-7.432187,1.365769,0.741552
31 Dec 2017 03:34:00.000,481.819044,6071.524665,3296.568621,-7.566806,0.497426,0.270080
31 Dec 2017 03:36:00.000,-427.741626,6078.696591,3300.462659,-7.570723,-0.377776,-0.205115
31 Dec 2017 03:38:00.000,-1329.941395,5981.187965,3247.519799,-7.444387,-1.244749,-0.675844
31 Dec 2017 03:40:00.000,-2209.288418,5780.879695,3138.761293,-7.190472,-2.088667,-1.134053
31 Dec 2017 03:42:00.000,-3050.741640,5481.404058,2976.159303,-6.813800,-2.895206,-1.571969
31 Dec 2017 03:44:00.000,-3839.961922,5088.069925,2762.596314,-6.321228,-3.650784,-1.982214
31 Dec 2017 03:46:00.000,-4563.547832,4607.761399,2501.810086,-5.721501,-4.342763,-2.357928
31 Dec 2017 03:48:00.000,-5209.252800,4048.812228,2198.325475,-5.025091,-4.959650,-2.692870
31 Dec 2017 03:50:00.000,-5766.180876,3420.858606,1857.374509,-4.244004,-5.491257,-2.981509
31 Dec 2017 03:52:00.000,-6224.958720,2734.673119,1484.806222,-3.391576,-5.928853,-3.219104
31 Dec 2017 03:54:00.000,-6577.881943,2001.982634,1086.987784,-2.482248,-6.265284,-3.401772
31 Dec 2017 03:56:00.000,-6819.034256,1235.273056,670.698486,-1.531341,-6.495069,-3.526534
31 Dec 2017 03:58:00.000,-6944.378280,447.583803,243.018156,-0.554809,-6.614472,-3.591365
31 Dec 2017 04:00:00.000,-6951.817175,-347.705078,-188.788435,0.431001,-6.621558,-3.595212
31 Dec 2017 04:02:00.000,-6841.226535,-1137.090290,-617.389596,1.409603,-6.516211,-3.538013
31 Dec 2017 04:04:00.000,-6614.456275,-1907.164274,-1035.505617,2.364621,-6.300140,-3.420697
31 Dec 2017 04:06:00.000,-6275.302504,-2644.832950,-1436.026992,3.280035,-5.976855,-3.245167
31 Dec 2017 04:08:00.000,-5829.449610,-3337.529325,-1812.130403,4.140434,-5.551622,-3.014284
31 Dec 2017 04:10:00.000,-5284.383080,-3973.420096,-2157.390890,4.931251,-5.031389,-2.731821
31 Dec 2017 04:12:00.000,-4649.273856,-4541.602356,-2465.888658,5.639000,-4.424696,-2.402414
31 Dec 2017 04:14:00.000,-3934.835346,-5032.287507,-2732.308933,6.251495,-3.741555,-2.031498
31 Dec 2017 04:16:00.000,-3153.154549,-5436.969490,-2952.033303,6.758061,-2.993303,-1.625231
31 Dec 2017 04:18:00.000,-2317.499183,-5748.574519,-3121.221014,7.149726,-2.192443,-1.190399
31 Dec 2017 04:20:00.000,-1442.103062,-5961.589516,-3236.878710,7.419388,-1.352452,-0.734321
31 Dec 2017 04:22:00.000,-541.932492,-6072.166671,-3296.917201,7.561961,-0.487571,-0.264729
31 Dec 2017 04:24:00.000,367.563135,-6078.201674,-3300.193941,7.574496,0.387422,0.210353
31 Dec 2017 04:26:00.000,1270.712839,-5979.383500,-3246.540055,7.456262,1.257460,0.682745
31 Dec 2017 04:28:00.000,2151.893535,-5777.213965,-3136.770964,7.208792,2.107439,1.144246
31 Dec 2017 04:30:00.000,2995.802921,-5474.995767,-2972.679886,6.835897,2.922493,1.586784
31 Dec 2017 04:32:00.000,3787.730870,-5077.788214,-2757.013801,6.343627,3.688258,2.002560
31 Dec 2017 04:34:00.000,4513.824161,-4592.330546,-2493.431817,5.740196,4.391142,2.384195
31 Dec 2017 04:36:00.000,5161.339238,-4026.933371,-2186.446227,5.035861,5.018589,2.724871
31 Dec 2017 04:38:00.000,5718.877673,-3391.339568,-1841.346980,4.242753,5.559325,3.018467
31 Dec 2017 04:40:00.000,6176.599186,-2696.556689,-1464.110691,3.374672,6.003583,3.259679
31 Dec 2017 04:42:00.000,6526.407366,-1954.663730,-1061.295717,2.446839,6.343302,3.444132
31 Dec 2017 04:44:00.000,6762.103759,-1178.595801,-639.925251,1.475615,6.572299,3.568467
31 Dec 2017 04:46:00.000,6879.506604,-381.910916,-207.360691,0.478198,6.686394,3.630415
31 Dec 2017 04:48:00.000,6876.531324,421.456379,228.832121,-0.527712,6.683502,3.628845
31 Dec 2017 04:50:00.000,6753.230759,1217.449373,661.021014,-1.524251,6.563676,3.563785
31 Dec 2017 04:52:00.000,6511.794150,1992.146165,1081.647014,-2.493732,6.329107,3.436424
31 Dec 2017 04:54:00.000,6156.504883,2732.013764,1483.362308,-3.418995,5.984073,3.249086
31 Dec 2017 04:56:00.000,5693.658060,3424.153926,1859.163719,-4.283727,5.534856,3.005182
31 Dec 2017 04:58:00.000,5131.439944,4056.535592,2202.518918,-5.072769,4.989604,2.709133
31 Dec 2017 05:00:00.000,4479.772220,4618.209223,2507.482789,-5.772399,4.358162,2.366288
31 Dec 2017 05:02:00.000,3750.124822,5099.498845,2768.801709,-6.370574,3.651874,1.982806
31 Dec 2017 05:04:00.000,2955.301690,5492.168292,2982.003804,-6.857135,2.883354,1.565533
31 Dec 2017 05:06:00.000,2109.204328,5789.558856,3143.473691,-7.223971,2.066236,1.121875
31 Dec 2017 05:08:00.000,1226.578335,5986.696289,3250.510574,-7.465140,1.214917,0.659646
31 Dec 2017 05:10:00.000,322.748219,6080.365902,3301.369020,-7.576946,0.344280,0.186929
31 Dec 2017 05:12:00.000,-586.654187,6069.155224,3295.282119,-7.557965,-0.530566,-0.288074
31 Dec 2017 05:14:00.000,-1485.962562,5953.464396,3232.467131,-7.409039,-1.394563,-0.757186
31 Dec 2017 05:16:00.000,-2359.745282,5735.485086,3114.114033,-7.133227,-2.232953,-1.212395
31 Dec 2017 05:18:00.000,-3193.066422,5419.149252,2942.357705,-6.735716,-3.031528,-1.645985
31 Dec 2017 05:20:00.000,-3971.734463,5010.049565,2720.234719,-6.223702,-3.776855,-2.050665
31 Dec 2017 05:22:00.000,-4682.535032,4515.333614,2451.625898,-5.606248,-4.456483,-2.419673
31 Dec 2017 05:24:00.000,-5313.444509,3943.574351,2141.185976,-4.894107,-5.059137,-2.746887
31 Dec 2017 05:26:00.000,-5853.821774,3304.619391,1794.261770,-4.099534,-5.574874,-3.026909
31 Dec 2017 05:28:00.000,-6294.575841,2609.421930,1416.800382,-3.236074,-5.995231,-3.255145
31 Dec 2017 05:30:00.000,-6628.307529,1869.856143,1015.248959,-2.318340,-6.313340,-3.427863
31 Dec 2017 05:32:00.000,-6849.423731,1098.519915,596.447596,-1.361781,-6.524020,-3.542253
31 Dec 2017 05:34:00.000,-6954.223163,308.527832,167.516931,-0.382438,-6.623849,-3.596456
31 Dec 2017 05:36:00.000,-6940.952822,-486.702704,-264.257981,0.603301,-6.611209,-3.589593
31 Dec 2017 05:38:00.000,-6809.834641,-1273.669342,-691.545964,1.578951,-6.486304,-3.521775
31 Dec 2017 05:40:00.000,-6563.062114,-2039.003758,-1107.088609,2.528178,-6.251161,-3.394103
31 Dec 2017 05:42:00.000,-6204.766929,-2769.688880,-1503.818224,3.435053,-5.909600,-3.208651
31 Dec 2017 05:44:00.000,-5740.955885,-3453.271480,-1874.973259,4.284295,-5.467188,-2.968441
31 Dec 2017 05:46:00.000,-5179.418667,-4078.067250,-2214.209653,5.061510,-4.931160,-2.677401
31 Dec 2017 05:48:00.000,-4529.607319,-4633.355482,-2515.706536,5.753423,-4.310321,-2.340313
31 Dec 2017 05:50:00.000,-3802.488605,-5109.560437,-2774.264707,6.348100,-3.614927,-1.962745
31 Dec 2017 05:52:00.000,-3010.370799,-5498.416547,-2985.396329,6.835149,-2.856533,-1.550971
31 Dec 2017 05:54:00.000,-2166.706812,-5793.114608,-3145.404307,7.205913,-2.047826,-1.111878
31 Dec 2017 05:56:00.000,-1285.876048,-5988.426233,-3251.449857,7.453635,-1.202431,-0.652867
31 Dec 2017 05:58:00.000,-382.947783,-6080.803956,-3301.606864,7.573595,-0.334701,-0.181728
31 Dec 2017 06:00:00.000,526.570635,-6068.454641,-3294.901733,7.563227,0.540517,0.293477
31 Dec 2017 06:02:00.000,1426.996996,-5951.384080,-3231.337611,7.422193,1.408130,0.764552
31 Dec 2017 06:04:00.000,2302.744645,-5731.411127,-3111.902054,7.152427,2.253059,1.223311
31 Dec 2017 06:06:00.000,3138.595468,-5412.150103,-2938.557477,6.758135,3.060503,1.661717
31 Dec 2017 06:08:00.000,3919.970503,-4998.960857,-2714.214042,6.245752,3.816215,2.072035
31 Dec 2017 06:10:00.000,4633.192957,-4498.866436,-2442.684950,5.623861,4.506766,2.446974
31 Dec 2017 06:12:00.000,5265.738320,-3920.439062,-2128.624540,4.903060,5.119809,2.779829
31 Dec 2017 06:14:00.000,5806.466262,-3273.655874,-1777.449954,4.095787,5.644315,3.064612
31 Dec 2017 06:16:00.000,6245.829217,-2569.726618,-1395.247588,3.216111,6.070802,3.296176
31 Dec 2017 06:18:00.000,6576.052861,-1820.896275,-988.665922,2.279472,6.391530,3.470317
31 Dec 2017 06:20:00.000,6791.284255,-1040.226274,-564.796735,1.302403,6.600655,3.583863
31 Dec 2017 06:22:00.000,6887.704080,-241.358630,-131.047034,0.302212,6.694361,3.634741
31 Dec 2017 06:24:00.000,6863.600186,561.732215,304.995678,-0.703347,6.670934,3.622022
31 Dec 2017 06:26:00.000,6719.400659,1354.994604,735.701974,-1.696416,6.530804,3.545937
31 Dec 2017 06:28:00.000,6457.665548,2124.556536,1153.539973,-2.659376,6.276529,3.407877
31 Dec 2017 06:30:00.000,6083.037470,2856.978702,1551.212726,-3.575191,5.912749,3.210361
31 Dec 2017 06:32:00.000,5602.152337,3539.498337,1921.790618,-4.427730,5.446081,2.956981
31 Dec 2017 06:34:00.000,5023.512400,4160.258819,2258.836029,-5.202066,4.884984,2.652330
31 Dec 2017 06:36:00.000,4357.324724,4708.520378,2556.517741,-5.884754,4.239582,2.301905
31 Dec 2017 06:38:00.000,3615.308934,5174.847866,2809.712885,-6.464068,3.521457,1.911995
31 Dec 2017 06:40:00.000,2810.478733,5551.272172,3014.094589,-6.930195,2.743420,1.489555
31 Dec 2017 06:42:00.000,1956.902094,5831.422634,3166.203865,-7.275398,1.919258,1.042072
31 Dec 2017 06:44:00.000,1069.445357,6010.628523,3263.504715,-7.494124,1.063472,0.577418
31 Dec 2017 06:46:00.000,163.506542,6085.988484,3304.421832,-7.583072,0.191006,0.103708
31 Dec 2017 06:48:00.000,-745.256823,6056.407517,3288.360679,-7.541218,-0.683024,-0.370851
31 Dec 2017 06:50:00.000,-1641.200240,5922.601782,3215.710100,-7.369798,-1.543591,-0.838101
31 Dec 2017 06:52:00.000,-2508.960314,5687.072127,3087.827943,-7.072248,-2.376018,-1.290072
31 Dec 2017 06:54:00.000,-3333.713883,5354.047753,2907.010478,-6.654117,-3.166216,-1.719115
31 Dec 2017 06:56:00.000,-4101.424185,4929.401877,2676.446601,-6.122941,-3.900909,-2.118021
31 Dec 2017 06:58:00.000,-4799.070462,4420.541601,2400.158039,-5.488089,-4.567841,-2.480135
31 Dec 2017 07:00:00.000,-5414.857924,3836.274456,2082.926892,-4.760594,-5.155957,-2.799456
31 Dec 2017 07:02:00.000,-5938.405427,3186.654285,1730.211950,-3.952950,-5.655564,-3.070721
31 Dec 2017 07:04:00.000,-6360.908679,2482.809237,1348.055305,-3.078907,-6.058471,-3.289481
31 Dec 2017 07:06:00.000,-6675.277213,1736.754734,942.980797,-2.153241,-6.358098,-3.452165
31 Dec 2017 07:08:00.000,-6876.243734,961.194296,521.885876,-1.191522,-6.549569,-3.556126
31 Dec 2017 07:10:00.000,-6960.444785,169.311113,91.928428,-0.209870,-6.629775,-3.599674
31 Dec 2017 07:12:00.000,-6926.472018,-625.446743,-339.589840,0.775292,-6.597416,-3.582104
31 Dec 2017 07:14:00.000,-6774.893600,-1409.584583,-765.341911,1.747487,-6.453015,-3.503701
31 Dec 2017 07:16:00.000,-6508.245582,-2169.779982,-1178.094298,2.690435,-6.198916,-3.365736
31 Dec 2017 07:18:00.000,-6130.993295,-2893.099401,-1570.824663,3.588303,-5.839250,-3.170454
31 Dec 2017 07:20:00.000,-5649.463124,-3567.209666,-1936.836641,4.425946,-5.379881,-2.921037
31 Dec 2017 07:22:00.000,-5071.745251,-4180.581440,-2269.870311,5.189152,-4.828328,-2.621568
31 Dec 2017 07:24:00.000,-4407.568294,-4722.681776,-2564.206751,5.864863,-4.193658,-2.276971
31 Dec 2017 07:26:00.000,-3668.147065,-5184.152866,-2814.765087,6.441402,-3.486367,-1.892943
31 Dec 2017 07:28:00.000,-2866.005066,-5556.974118,-3017.190492,6.908668,-2.718219,-1.475873
31 Dec 2017 07:30:00.000,-2014.773716,-5834.604736,-3167.931605,7.258324,-1.902082,-1.032746
31 Dec 2017 07:32:00.000,-1128.970747,-6012.104090,-3264.305882,7.483961,-1.051724,-0.571040
31 Dec 2017 07:34:00.000,-223.760678,-6086.227318,-3304.551508,7.581229,-0.181601,-0.098601
31 Dec 2017 07:36:00.000,685.299264,-6055.493825,-3287.864585,7.547947,0.693379,0.376474
31 Dec 2017 07:38:00.000,1582.523938,-5920.226663,-3214.420515,7.384173,1.558105,0.845982
31 Dec 2017 07:40:00.000,2452.371493,-5682.561178,-3085.378698,7.092240,2.397528,1.301751
31 Dec 2017 07:42:00.000,3279.716314,-5346.421791,-2902.869919,6.676748,3.196925,1.735788
31 Dec 2017 07:44:00.000,4050.118676,-4917.466363,-2669.966146,6.144517,3.942172,2.140425
31 Dec 2017 07:46:00.000,4750.085892,-4402.998250,-2390.632777,5.504491,4.620013,2.508462
31 Dec 2017 07:48:00.000,5367.319616,-3811.846863,-2069.663792,4.767604,5.218311,2.833311
31 Dec 2017 07:50:00.000,5890.944023,-3154.218313,-1712.600656,3.946599,5.726295,3.109124
31 Dec 2017 07:52:00.000,6311.709801,-2441.518484,-1325.636257,3.055801,6.134776,3.330911
31 Dec 2017 07:54:00.000,6622.169261,-1686.151622,-915.505552,2.110865,6.436332,3.494643
31 Dec 2017 07:56:00.000,6816.818428,-901.298238,-489.364973,1.128481,6.625469,3.597336
